1000
4.280000000000003d0    0.d0
4.320000000000003d0    0.d0
4.360000000000003d0    0.d0
4.400000000000003d0    0.d0
4.440000000000003d0    0.d0
4.480000000000003d0    0.d0
4.520000000000003d0    0.d0
4.560000000000003d0    0.d0
4.600000000000003d0    0.d0
4.640000000000003d0    0.d0
4.680000000000003d0    0.d0
4.720000000000003d0    0.d0
4.760000000000003d0    0.d0
4.800000000000003d0    0.d0
4.840000000000003d0    0.d0
4.880000000000003d0    0.d0
4.920000000000003d0    0.d0
4.960000000000004d0    0.d0
5.000000000000004d0    0.d0
5.040000000000004d0    0.d0
5.080000000000004d0    0.d0
5.120000000000004d0    0.d0
5.160000000000004d0    0.d0
5.200000000000004d0    0.d0
5.240000000000004d0    0.d0
5.280000000000004d0    0.d0
5.320000000000004d0    0.d0
5.360000000000004d0    0.d0
5.400000000000004d0    0.d0
5.440000000000004d0    0.d0
5.480000000000004d0    0.d0
5.520000000000004d0    0.d0
5.560000000000004d0    0.d0
5.600000000000004d0    0.d0
5.640000000000004d0    0.d0
5.680000000000004d0    0.d0
5.720000000000004d0    0.d0
5.760000000000004d0    0.d0
5.800000000000004d0    0.d0
5.840000000000004d0    0.d0
5.880000000000004d0    0.d0
5.920000000000004d0    0.d0
5.960000000000004d0    0.d0
6.000000000000004d0    0.d0
6.040000000000004d0    0.d0
6.080000000000005d0    0.d0
6.120000000000005d0    0.d0
6.160000000000005d0    0.d0
6.200000000000005d0    0.d0
6.240000000000005d0    0.d0
6.280000000000005d0    0.d0
6.320000000000005d0    0.d0
6.360000000000005d0    0.d0
6.400000000000005d0    0.d0
6.440000000000005d0    0.d0
6.480000000000005d0    0.d0
6.520000000000005d0    0.d0
6.560000000000005d0    0.d0
6.600000000000005d0    0.d0
6.640000000000005d0    0.d0
6.680000000000005d0    0.d0
6.720000000000005d0    0.d0
6.760000000000005d0    0.d0
6.800000000000005d0    0.d0
6.840000000000005d0    0.d0
6.880000000000005d0    0.d0
6.920000000000005d0    0.d0
6.960000000000005d0    0.d0
7.000000000000005d0    0.d0
7.040000000000005d0    0.d0
7.080000000000005d0    0.d0
7.120000000000005d0    0.d0
7.160000000000005d0    0.d0
7.200000000000006d0    0.d0
7.240000000000006d0    0.d0
7.280000000000006d0    0.d0
7.320000000000006d0    0.d0
7.360000000000006d0    0.d0
7.400000000000006d0    0.d0
7.440000000000006d0    0.d0
7.480000000000006d0    0.d0
7.520000000000006d0    0.d0
7.560000000000006d0    0.d0
7.600000000000006d0    0.d0
7.640000000000006d0    0.d0
7.680000000000006d0    0.d0
7.720000000000006d0    0.d0
7.760000000000006d0    0.d0
7.800000000000006d0    0.d0
7.840000000000006d0    0.d0
7.880000000000006d0    0.d0
7.920000000000006d0    0.d0
7.960000000000006d0    0.d0
8.000000000000005d0    0.d0
8.04d0    0.d0
8.08d0    0.d0
8.12d0    0.d0
8.16d0    0.d0
8.2d0    0.d0
8.24d0    0.d0
8.28d0    0.d0
